lat,lon,lit
37.90982,-87.24551,0
37.90931,-87.24456,0
37.90876,-87.24366,0
37.90818,-87.2428,0
37.90757,-87.24196,0
37.90693,-87.24115,0
37.9063,-87.24034,0
37.90568,-87.23952,0
37.90505,-87.2387,0
37.90442,-87.23789,0
37.90378,-87.23708,0
37.90316,-87.23626,0
37.90252,-87.23545,0
37.90192,-87.23461,0
37.9014,-87.23368,0
37.90095,-87.23269,0
37.90061,-87.23164,0
37.90036,-87.23055,0
37.90019,-87.22943,0
37.90014,-87.2283,0
37.90015,-87.22716,0
37.90015,-87.22602,0
37.90016,-87.22488,0
37.90016,-87.22374,0
37.90016,-87.2226,0
37.90015,-87.22146,0
37.90015,-87.22032,0
37.90016,-87.21918,0
37.90017,-87.21804,0
37.90018,-87.2169,0
37.9002,-87.21576,0
39.93026,-86.14913,1
39.93028,-86.14796,1
39.93029,-86.14679,1
39.78097,-86.16559,1
39.781,-86.16442,1
39.78103,-86.16325,1
39.78103,-86.16208,1
39.78114,-86.15941,1
39.78115,-86.15824,1
39.27825,-84.86315,1
39.27763,-84.86399,1
39.27702,-84.86484,1
39.27646,-84.86574,1
39.27602,-84.86676,1
39.27565,-84.86782,1
39.27545,-84.86895,1
39.27537,-84.8701,1
39.27542,-84.87126,1
39.8305,-84.88046,1
39.83051,-84.88163,1
39.83052,-84.8828,1
39.83053,-84.88397,1
39.82725,-84.88769,1
39.82815,-84.88769,1
39.81425,-84.89,1
39.81515,-84.88999,1
39.81605,-84.88999,1
39.81695,-84.88997,1
39.81785,-84.88997,1
39.81875,-84.88997,1
39.81965,-84.88998,1
39.82055,-84.88997,1
39.82144,-84.89003,1
41.57453,-87.48025,1
41.5754,-87.48056,1
41.57628,-87.48074,1
41.57718,-87.4808,1
40.83246,-84.93777,1
40.83336,-84.93777,1
40.83426,-84.93776,1
40.83516,-84.93776,1
40.83606,-84.93776,1
40.83696,-84.93775,1
40.83786,-84.93775,1
40.83876,-84.93774,1
40.83966,-84.93775,1
40.84056,-84.93774,1
40.84146,-84.93772,1
40.84236,-84.9377,1
40.84325,-84.93767,1
40.84415,-84.93762,1
40.84505,-84.93757,1
41.57752,-87.48109,1
41.57663,-87.48106,1
41.57573,-87.48093,1
41.57485,-87.48067,1
41.57401,-87.48027,1
41.63032,-84.81799,0
41.62973,-84.81708,0
41.62922,-84.81609,0
41.62879,-84.81503,0
41.62845,-84.81393,0
41.62819,-84.81277,0
41.62803,-84.81159,0
41.62796,-84.81039,0
41.62797,-84.80919,0
41.62809,-84.808,0
41.62825,-84.80681,0
41.63036,-84.81764,0
41.66609,-84.85326,0
41.66658,-84.85427,0
41.66707,-84.85528,0
41.66756,-84.85629,0
41.66805,-84.8573,0
41.66854,-84.85831,0
41.66903,-84.85932,0
41.66952,-84.86032,0
41.67003,-84.86132,0
41.67055,-84.8623,0
41.67107,-84.86328,0
41.67161,-84.86425,0
41.67216,-84.8652,0
41.67272,-84.86614,0
41.67329,-84.86707,0
41.67387,-84.86799,0
41.67446,-84.8689,0
41.67506,-84.8698,0
41.67566,-84.87069,0
41.67628,-84.87157,0
41.67691,-84.87243,0
41.67754,-84.87329,0
41.67817,-84.87415,0
41.6788,-84.87501,0
41.67943,-84.87586,0
41.68006,-84.87672,0
41.68069,-84.87758,0
41.68132,-84.87844,0
41.68195,-84.8793,0
41.68258,-84.88015,0
41.6832,-84.88103,0
41.6838,-84.88193,0
41.68438,-84.88285,0
